"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENTREZID_mappings","Ecol_K-12MG1655_1G_CTRL_Rep1","Ecol_K-12MG1655_1G_CTRL_Rep2","Ecol_K-12MG1655_1G_CTRL_Rep3","Ecol_K-12MG1655_1G_CTRL_Rep4","Ecol_K-12MG1655_uG_Clinorotation_Rep1","Ecol_K-12MG1655_uG_Clinorotation_Rep2","Ecol_K-12MG1655_uG_Clinorotation_Rep3","Ecol_K-12MG1655_uG_Clinorotation_Rep4"
NA,NA,NA,NA,NA,NA,NA,"1767301_at",0,1.72323606215928,1.60035860205707,1.73717008661322,1.7879505993507,1.94630833800079,1.4422163473487,1.39540909080412,1.94883629735224
NA,NA,NA,NA,NA,NA,NA,"1767302_s_at",0,8.36278672343785,8.43707422618406,8.3785204232977,8.85887765890583,8.4006184983086,8.53257200069345,8.42073639664186,8.79754440957748
NA,"ECs2541|proQ",NA,NA,"912783|948950",NA,"GO:0006974|GO:0010608|GO:0005737|GO:0005829|GO:0003723|GO:0005515|GO:0033592|GO:0034057","1767303_s_at",2,8.26165404182473,8.20278236534855,8.07486107823202,8.96977347143497,8.02192745620266,8.51503201262237,8.47999921652993,8.82260097501368
NA,NA,NA,NA,NA,NA,NA,"1767304_at",0,1.63771706063222,1.56047751411679,1.76633403426522,1.93745808787014,1.64923323960598,1.98183256515947,1.93745808787014,2.07377709541632
NA,NA,NA,NA,NA,NA,NA,"1767305_at",0,7.72378786163772,7.75124883561808,7.81126956317859,8.16721117471063,7.89219406765004,7.78908855827682,7.79806316427125,8.02301275052883
NA,NA,NA,NA,NA,NA,NA,"1767306_s_at",0,9.16722888564143,9.04859651927766,9.16174172250956,8.47007942080814,9.15435516783051,8.87121447003673,9.01282665724522,8.55330518625133
NA,NA,NA,NA,NA,NA,NA,"1767307_at",0,1.29331996648141,1.29331996648141,1.85970922817053,1.10259201303234,1.53516068264216,1.11065737346329,1.2127745562067,1.29331996648141
NA,"ECs3735","hypothetical protein",NA,"916447",NA,"GO:0016020|GO:0016021","1767308_s_at",1,1.26369270625361,1.32919047089647,1.34499522373411,1.13312308739882,3.0207829881334,1.15775711495299,1.41189739692052,1.40329281622993
NA,"artM","arginine transporter permease ArtM|arginine ABC transporter permease",NA,"917725|949066",NA,"GO:0003333|GO:0006810|GO:0006865|GO:1902765|GO:0005886|GO:0005887|GO:0016020|GO:0016021|GO:0055052|GO:0005215|GO:0015171","1767309_s_at",2,9.15716637751886,9.18527812920133,9.20655159082547,8.38234934359145,9.3534434077747,8.82642707090776,9.05530808915908,8.82328827678309
NA,"crp|ECs4208","cAMP-activated global transcription factor, mediator of catabolite repression|cAMP-regulatory protein",NA,"915936|947867",NA,"GO:0006351|GO:0006355|GO:0045013|GO:0045892|GO:0045893|GO:0005622|GO:0005829|GO:0000166|GO:0003677|GO:0003700|GO:0005515|GO:0030552","1767310_s_at",2,8.18058061687755,8.05766861999797,8.17598421875124,8.66618501609258,8.02503542387307,8.63809721257502,8.1905825345568,8.60462458943412
NA,"lnt","apolipoprotein N-acyltransferase",NA,"917056|946201",NA,"GO:0006807|GO:0042158|GO:0005886|GO:0005887|GO:0016020|GO:0016021|GO:0016410|GO:0016740|GO:0016746|GO:0016787|GO:0016810","1767311_s_at",2,9.15453800147561,8.97846201125081,8.94260155722858,8.58452834943221,8.94509739328718,9.13124841851647,8.89730687025977,8.78506568078717
NA,"ECs0797|ybhH","hypothetical protein|putative PrpF family isomerase",NA,"917538|945375",NA,"GO:0008152|GO:0016853","1767312_s_at",2,7.72606109359212,7.70131110887549,7.50891787196629,7.77786026664257,7.4477892060338,7.94351560584156,7.99463175437773,8.18463081101691
NA,"ECs0801","excisionase",NA,"917539",NA,"GO:0006310|GO:0003677","1767313_s_at",1,1.1451152758145,1.6338809880395,1.13162771720403,1.44315303459043,1.53010273166125,1.339894300405,1.48567629737258,1.20720356537666
NA,NA,NA,NA,NA,NA,NA,"1767314_s_at",0,5.64217182695745,5.25778701952781,5.51365442930988,8.72680789460583,5.25155736603879,7.75595702024374,6.74481300557589,8.68142349797285
NA,NA,NA,NA,NA,NA,NA,"1767315_at",0,2.74996134927786,3.08645465545485,3.42016685677273,2.40520017170807,3.23711790693392,2.53676827483116,2.78872479709686,2.56671491392133
NA,NA,NA,NA,NA,NA,NA,"1767316_at",0,2.52744546424553,2.55522156550677,2.78149309240209,2.39462841464575,3.85956971422746,2.32386618070212,2.5858975104558,2.45901713226333
NA,NA,NA,NA,NA,NA,NA,"1767317_s_at",0,3.4711514071123,2.97195665222665,3.48584340489643,2.90637488017218,3.55929008048924,2.97983118548761,2.91453075947225,2.72254981647307
NA,"exbB","membrane spanning protein in TonB-ExbB-ExbD complex",NA,"945420",NA,"GO:0006810|GO:0015031|GO:0043213|GO:0050821|GO:0005886|GO:0016020|GO:0016021|GO:0005515|GO:0008565|GO:0031992","1767318_s_at",1,7.96735406023716,7.67692297560692,7.86661992874057,7.38839501885293,7.82678875738307,7.84847319900153,7.7359319630892,7.23362969936653
NA,"acrB|ECs0515","multidrug efflux system protein|acridine efflux pump",NA,"914619|945108",NA,"GO:0006810|GO:0006855|GO:0042493|GO:0046618|GO:0005886|GO:0005887|GO:0016020|GO:0016021|GO:0005215|GO:0005515|GO:0015238|GO:0015307|GO:0042802","1767319_s_at",2,9.02204722161686,8.94160656268761,8.94144223140268,8.88625972454809,8.73997330518567,8.85634437803765,8.91743233470841,8.98472034777795
